Junction,Date,Time,Direction,car,motorbike,bus,truck,total
0,01-11-2023,09:01:00,1,0,0,0,0,0
0,01-11-2023,09:01:00,2,0,0,0,0,0
0,01-11-2023,09:01:00,3,0,0,0,0,0
0,01-11-2023,09:01:00,4,0,0,0,0,0
0,01-11-2023,09:02:00,1,0,0,0,0,0
0,01-11-2023,09:02:00,2,0,2,0,1,3
0,01-11-2023,09:02:00,3,2,2,1,0,5
0,01-11-2023,09:02:00,4,1,0,0,0,1
0,01-11-2023,09:03:00,1,1,0,0,0,1
0,01-11-2023,09:03:00,2,0,0,0,0,0
0,01-11-2023,09:03:00,3,1,2,0,0,3
0,01-11-2023,09:03:00,4,2,1,0,0,3
0,01-11-2023,09:04:00,1,0,0,0,0,0
0,01-11-2023,09:04:00,2,0,0,0,0,0
0,01-11-2023,09:04:00,3,0,0,0,0,0
0,01-11-2023,09:04:00,4,1,2,0,0,3
0,01-11-2023,09:05:00,1,0,0,0,0,0
0,01-11-2023,09:05:00,2,0,2,2,0,4
0,01-11-2023,09:05:00,3,0,0,0,0,0
0,01-11-2023,09:05:00,4,0,1,0,0,1
0,01-11-2023,09:06:00,1,0,0,0,0,0
0,01-11-2023,09:06:00,2,1,1,0,0,2
0,01-11-2023,09:06:00,3,2,1,0,2,5
0,01-11-2023,09:06:00,4,2,3,0,1,6
0,01-11-2023,09:07:00,1,0,1,0,0,1
0,01-11-2023,09:07:00,2,2,3,1,1,7
0,01-11-2023,09:07:00,3,1,1,0,0,2
0,01-11-2023,09:07:00,4,0,2,0,0,2
0,01-11-2023,09:08:00,1,0,0,0,0,0
0,01-11-2023,09:08:00,2,0,3,0,0,3
0,01-11-2023,09:08:00,3,0,0,0,0,0
0,01-11-2023,09:08:00,4,3,2,0,0,5
0,01-11-2023,09:09:00,1,0,0,0,0,0
0,01-11-2023,09:09:00,2,0,1,0,0,1
0,01-11-2023,09:09:00,3,2,0,0,0,2
0,01-11-2023,09:09:00,4,1,1,0,1,3
0,01-11-2023,09:10:00,1,0,0,0,0,0
0,01-11-2023,09:10:00,2,0,3,1,0,4
0,01-11-2023,09:10:00,3,0,1,0,0,1
0,01-11-2023,09:10:00,4,0,2,0,0,2
0,01-11-2023,09:11:00,1,0,0,0,0,0
0,01-11-2023,09:11:00,2,0,0,0,0,0
0,01-11-2023,09:11:00,3,1,3,0,0,4
0,01-11-2023,09:11:00,4,8,1,0,1,10
0,01-11-2023,09:12:00,1,0,0,0,0,0
0,01-11-2023,09:12:00,2,2,3,0,1,6
0,01-11-2023,09:12:00,3,0,1,0,0,1
0,01-11-2023,09:12:00,4,0,0,0,0,0
0,01-11-2023,09:13:00,1,0,0,0,0,0
0,01-11-2023,09:13:00,2,0,1,0,0,1
0,01-11-2023,09:13:00,3,0,1,0,2,3
0,01-11-2023,09:13:00,4,1,0,0,1,2
0,01-11-2023,09:14:00,1,0,2,0,0,2
0,01-11-2023,09:14:00,2,1,1,0,0,2
0,01-11-2023,09:14:00,3,0,6,0,0,6
0,01-11-2023,09:14:00,4,2,0,0,0,2
0,01-11-2023,09:15:00,1,0,0,0,0,0
0,01-11-2023,09:15:00,2,0,3,0,0,3
0,01-11-2023,09:15:00,3,0,4,0,2,6
0,01-11-2023,09:15:00,4,1,0,0,1,2
0,01-11-2023,09:16:00,1,0,0,0,0,0
0,01-11-2023,09:16:00,2,1,2,0,1,4
0,01-11-2023,09:16:00,3,1,0,0,1,2
0,01-11-2023,09:16:00,4,7,1,0,0,8
0,01-11-2023,09:17:00,1,0,0,0,0,0
0,01-11-2023,09:17:00,2,0,2,1,1,4
0,01-11-2023,09:17:00,3,0,1,0,0,1
0,01-11-2023,09:17:00,4,4,0,0,0,4
0,01-11-2023,09:18:00,1,0,0,0,1,1
0,01-11-2023,09:18:00,2,0,0,0,0,0
0,01-11-2023,09:18:00,3,2,0,0,1,3
0,01-11-2023,09:18:00,4,1,0,0,0,1
0,01-11-2023,09:19:00,1,0,0,0,0,0
0,01-11-2023,09:19:00,2,0,0,0,0,0
0,01-11-2023,09:19:00,3,1,2,0,0,3
0,01-11-2023,09:19:00,4,2,0,0,0,2
0,01-11-2023,09:20:00,1,0,0,0,0,0
0,01-11-2023,09:20:00,2,0,4,2,0,6
0,01-11-2023,09:20:00,3,2,0,0,0,2
0,01-11-2023,09:20:00,4,5,0,0,1,6
0,01-11-2023,09:21:00,1,0,0,0,0,0
0,01-11-2023,09:21:00,2,1,1,1,0,3
0,01-11-2023,09:21:00,3,0,0,0,0,0
0,01-11-2023,09:21:00,4,1,1,0,0,2
0,01-11-2023,09:22:00,1,0,0,0,0,0
0,01-11-2023,09:22:00,2,0,4,0,1,5
0,01-11-2023,09:22:00,3,1,1,0,0,2
0,01-11-2023,09:22:00,4,1,0,0,0,1
0,01-11-2023,09:23:00,1,1,0,0,0,1
0,01-11-2023,09:23:00,2,0,0,0,0,0
0,01-11-2023,09:23:00,3,0,2,0,0,2
0,01-11-2023,09:23:00,4,3,1,0,0,4
0,01-11-2023,09:24:00,1,0,0,0,0,0
0,01-11-2023,09:24:00,2,0,0,0,0,0
0,01-11-2023,09:24:00,3,1,0,0,1,2
0,01-11-2023,09:24:00,4,2,3,0,0,5
0,01-11-2023,09:25:00,1,0,1,0,0,1
0,01-11-2023,09:25:00,2,1,2,1,1,5
0,01-11-2023,09:25:00,3,1,1,0,0,2
0,01-11-2023,09:25:00,4,2,2,0,0,4
0,01-11-2023,09:26:00,1,0,0,0,0,0
0,01-11-2023,09:26:00,2,1,1,0,0,2
0,01-11-2023,09:26:00,3,2,1,0,3,6
0,01-11-2023,09:26:00,4,1,0,0,0,1
0,01-11-2023,09:27:00,1,0,0,0,0,0
0,01-11-2023,09:27:00,2,0,1,2,1,4
0,01-11-2023,09:27:00,3,0,0,0,0,0
0,01-11-2023,09:27:00,4,1,5,0,0,6
0,01-11-2023,09:28:00,1,0,0,0,0,0
0,01-11-2023,09:28:00,2,0,2,0,0,2
0,01-11-2023,09:28:00,3,4,3,0,0,7
0,01-11-2023,09:28:00,4,2,4,0,0,6
0,01-11-2023,09:29:00,1,0,0,0,0,0
0,01-11-2023,09:29:00,2,0,0,0,0,0
0,01-11-2023,09:29:00,3,1,2,0,2,5
0,01-11-2023,09:29:00,4,2,1,0,0,3
0,01-11-2023,09:30:00,1,0,0,0,0,0
0,01-11-2023,09:30:00,2,3,1,0,0,4
0,01-11-2023,09:30:00,3,1,1,0,1,3
0,01-11-2023,09:30:00,4,3,1,0,0,4
0,01-11-2023,09:31:00,1,0,1,0,0,1
0,01-11-2023,09:31:00,2,0,1,0,0,1
0,01-11-2023,09:31:00,3,1,0,0,1,2
0,01-11-2023,09:31:00,4,0,4,0,1,5
0,01-11-2023,09:32:00,1,0,0,0,0,0
0,01-11-2023,09:32:00,2,0,0,2,1,3
0,01-11-2023,09:32:00,3,0,3,0,1,4
